Date,Node hierarchy,Node Path,Board Id,Username,Rank,Role,valuesurvey.communityexperience.question.purpose,valuesurvey.communityexperience.question.helpful,valuesurvey.communityexperience.question.yes_then,valuesurvey.communityexperience.question.no_then,valuesurvey.communityexperience.question.purchase,valuesurvey.communityexperience.question.recommend,valuesurvey.communityexperience.question.feedback,Attributes,Sentiment
1/29/2021 4:14,self-care | What is Self-Care? | What is Self-Care?,/1/2/66/227/259/261/,261.0,LiyanaIstamam,New-in-Town ✪,,use,yes,support,,online,6,,Unspecified Comment,Unspecified Comment
1/29/2021 0:17,bill payment | Where can I pay my unifi Mobile bills? | Where can I pay my unifi Mobile bills?,/1/2/66/227/243/251/,251.0,Don6005,New-in-Town ✪,,info,no,,back,no,3,No comment,Unspecified Comments,Unspecified Comments
1/28/2021 11:41,,/1/,,AzmanAbdullah,Contributing Citizen ✪,,info,no,,support,no,6,Did not allow to post or ask questions pertaining our need,Community UIUX,negative
1/28/2021 9:55,,/1/,,josephine016,New-in-Town ✪,,other,no,,support,no,4,as I'm still not get what Im need,Crowd Sourcing and Content,negative
1/28/2021 6:09,unifi home broadband | PASANG CABLE FIBRE | PASANG CABLE FIBRE,/1/2/31/215/216/,216.0,arif1998_,New-in-Town ✪,,make,yes,back,,online,5,,Unspecified Comment,Unspecified Comment
1/28/2021 3:54,Service Availability | How do I check the service availability in my area? | How do I check the service availability in my area?,/1/2/66/171/174/278/,278.0,MiillerLim,New-in-Town ✪,,other,no,,back,online,6,room of improvement,Community UIUX,Unspecified Comments
1/28/2021 1:57,unifi home broadband | Wifi service in Taman Penawar Jalan Free school 11600 Georgetown Penang | Wifi service in Taman Penawar Jalan Free school 11600 Georgetown Penang,/1/2/31/215/216/,216.0,teohtanhanteik,Contributing Citizen ✪,,info,no,,support,offline,6,,Unspecified Comment,Unspecified Comment
1/27/2021 3:36,Bill Payment | How do I make online payments via unifi portal? | How do I make online payments via unifi portal?,/1/2/66/171/181/275/,275.0,[anonymous],,,info,yes,support,,online,10,Bill,Touchpoints,Unspecified Comments
1/27/2021 3:18,,/1/,,Annjieyin,New-in-Town ✪,,info,no,,other,no,0,"received  a link in sms on how to pay my bill: click on to unifi.com.my, equals to an unanswered question. hopeless. you should direct your customer step by step, not just send a stupid link and your new customer dont even know where to pay the bill. asked to set up an account on community, after setting up, nowhere to click in for account number to pay bill!!!!!",Touchpoints,negative
1/27/2021 2:25,,/1/2/66/,,evelyntong,New-in-Town ✪,,info,no,,support,online,0,"bad services, line keep disconnected ",Network and Services,negative
1/27/2021 2:05,unifi home broadband,/1/2/31/215/216/,216.0,AqmalAdnan87,New-in-Town ✪,,info,no,,support,offline,6,,Unspecified Comment,Unspecified Comment
1/27/2021 0:49,autopay mobile | How do I sign up for Auto Pay service? | How do I sign up for Auto Pay service?,/1/2/66/227/243/244/,244.0,Go,New-in-Town ✪,,info,no,,support,no,5,Because cant find th solutions for my case,Crowd Sourcing and Content,negative
1/26/2021 18:04,unifi home broadband | Kualiti Rangkaian TERPUTUS-PUTUS ADA KALA LANGSUNG HILANG SAMBUNGAN INTERNET BERHARI-HARI LAMANYA | Kualiti Rangkaian TERPUTUS-PUTUS ADA KALA LANGSUNG HILANG SAMBUNGAN INTERNET BERHARI-HARI LAMANYA,/1/2/31/215/216/,216.0,amir920101,Contributing Citizen ✪,,use,no,,another,offline,8,Nice Words & Works serve with best communication language to clients so on,Crowd Sourcing and Content,negative
1/26/2021 6:36,,/1/,,fitri7345,New-in-Town ✪,,info,no,,back,online,7,kerana persoalan saya tidak di jawab,Responsiveness,Unspecified Comments
1/26/2021 4:53,,/1/2/66/,,Maserati,New-in-Town ✪,,info,no,,other,online,8,"Was wanting to install the fibre but there is no pole/box at this area for the past year, so i just try the unifi air while waiting for the cable, now they had install the pole/box here, wondering if i can upgrade to fibre and not using the unifi air anymore, due to unifi air are really disappointed with the speed. ",Network and Services,negative
1/26/2021 4:47,service cancellation | How do I cancel my service? | How do I cancel my service?,/1/2/66/227/243/253/,253.0,erni8987,New-in-Town ✪,,other,yes,other,,online,5,,Unspecified Comment,Unspecified Comment
1/26/2021 4:23,Bill Payment | How do I make online payments via unifi portal? | How do I make online payments via unifi portal?,/1/2/66/171/181/275/,275.0,amyady2485,New-in-Town ✪,,other,yes,back,,online,10,,Unspecified Comment,Unspecified Comment
1/26/2021 3:52,,/1/,,[anonymous],,,info,no,,store,no,7,,Unspecified Comment,Unspecified Comment
1/26/2021 2:52,unifi mobile,/1/2/31/215/217/,217.0,[anonymous],,,info,no,,support,online,0,bad ,Network and Services,Unspecified Comments
1/26/2021 1:38,unifi wifi,/1/2/31/215/219/,219.0,imran5,New-in-Town ✪,,info,no,,support,online,8,,Unspecified Comment,Unspecified Comment
1/26/2021 1:31,,/1/,,Adamlui,New-in-Town ✪,,info,no,,support,no,4,No user friendly,Community UIUX,Unspecified Comments
1/25/2021 7:52,"suspension | I'm going overseas for a month, can you temporary suspend my line? | I'm going overseas for a month, can you temporary suspend my line?",/1/2/66/227/243/254/,254.0,Edhonggs9,New-in-Town ✪,,info,no,,support,no,0,My problem can't solve by online.,Touchpoints,negative
1/25/2021 5:43,unifi home broadband | Website Filter for DIR-842 Router | Website Filter for DIR-842 Router,/1/2/31/215/216/,216.0,MrMaverick,New-in-Town ✪,,info,no,,support,no,9,national broadband provider,Network and Services,Unspecified Comments
1/25/2021 5:19,,/1/,,Parkdin,New-in-Town ✪,,info,no,,support,online,3,to much step which confusing,Touchpoints,Unspecified Comments
1/25/2021 4:40,,/1/,,hadisal1,New-in-Town ✪,,info,no,,support,online,2,my line very poor,Network and Services,Unspecified Comments
1/25/2021 2:11,,/1/2/66/,,lepihguyz,New-in-Town ✪,,info,no,,support,no,4,No complete infomation,Crowd Sourcing and Content,negative
1/25/2021 2:01,,/1/,,johstarmlk6,New-in-Town ✪,,other,no,,other,online,6,,Unspecified Comment,Unspecified Comment
1/24/2021 13:44,unifi home broadband | How to request unifi coverage in my area? | How to request unifi coverage in my area?,/1/2/31/215/216/,216.0,naazura,New-in-Town ✪,,info,yes,support,,online,10,none,Unspecified Comments,Unspecified Comments
1/23/2021 11:28,Service Availability | How do I check the service availability in my area? | How do I check the service availability in my area?,/1/2/66/171/174/278/,278.0,Kim89,New-in-Town ✪,,info,no,,support,no,0,Slow,Network and Services,Unspecified Comments
1/23/2021 10:13,unifi mobile | SIM card replacement | SIM card replacement,/1/2/31/215/217/,217.0,spitfire62,New-in-Town ✪,,info,no,,support,no,3,Bot not helping,Touchpoints,Unspecified Comments
1/23/2021 8:10,Bill Payment | How do I make online payments via unifi portal? | How do I make online payments via unifi portal?,/1/2/66/171/181/275/,275.0,KIMTOOH,New-in-Town ✪,,info,no,,support,online,4,epay no link,Touchpoints,Unspecified Comments
1/23/2021 5:37,,/1/,,[anonymous],,,other,yes,support,,no,5,nothing,Unspecified Comments,Unspecified Comments
1/23/2021 0:52,,/1/2/66/,,Polly1,New-in-Town ✪,,info,no,,other,no,0,I tried unifi mobile for one day and terminated the account. I failed to contact unifi customer service whether by dialling 100 or live chat. The support system is terrible. ,Touchpoints,negative
1/22/2021 17:00,coverage | How do I check if my area is under LTE coverage? | How do I check if my area is under LTE coverage?,/1/2/66/227/256/258/,258.0,Mdfaizall1979,New-in-Town ✪,,other,yes,support,,no,0,No answer,Responsiveness,Unspecified Comments
1/22/2021 12:43,,/1/,,NASS_3677,New-in-Town ✪,,info,yes,other,,online,8,,Unspecified Comment,Unspecified Comment
1/22/2021 10:39,Bill Payment | How can I get my e-Bill? | How can I get my e-Bill?,/1/2/66/171/181/275/,275.0,muin800311,New-in-Town ✪,,other,no,,back,no,5,,Unspecified Comment,Unspecified Comment
1/22/2021 4:45,Bill Payment | Where can I pay my unifi Home bill? | Where can I pay my unifi Home bill?,/1/2/66/171/181/275/,275.0,nuramani1987,New-in-Town ✪,,use,yes,support,,no,8,Good services,Network and Services,Unspecified Comments
1/22/2021 3:09,,/1/,,[anonymous],,,info,no,,support,no,0,0,Unspecified Comment,Unspecified Comment
1/21/2021 11:52,,/1/,,PATMAWATI,New-in-Town ✪,,info,no,,other,online,8,,Unspecified Comment,Unspecified Comment
1/21/2021 11:29,,/1/,,Wayhan,New-in-Town ✪,,use,no,,support,online,8,good,Crowd Sourcing and Content,Unspecified Comments
1/21/2021 9:02,unifi mobile | Set Hotspot on your iPhone | Set Hotspot on your iPhone,/1/2/31/215/217/,217.0,Nurzul,New-in-Town ✪,,use,yes,support,,online,9,easy to understand,Unspecified Comments,Unspecified Comments
1/20/2021 22:58,unifi home broadband,/1/2/31/215/216/,216.0,Abdullah79,New-in-Town ✪,,info,no,,back,no,5,unifi air ada masalah,Network and Services,Unspecified Comments
1/20/2021 12:31,self-care | How do I change my Self-Care password? | How do I change my Self-Care password?,/1/2/66/227/259/261/,261.0,[anonymous],,,info,yes,support,,offline,8,no apparent reason,Unspecified Comments,Unspecified Comments
1/20/2021 11:26,unifi wifi | Wifi booster yg terbaik itk tarik wifi seluruh rumah? | Wifi booster yg terbaik itk tarik wifi seluruh rumah?,/1/2/31/215/219/,219.0,epihoo,New-in-Town ✪,,use,no,,back,online,9,,Unspecified Comment,Unspecified Comment
1/20/2021 9:17,deposit | When can I get back my deposit? | When can I get back my deposit?,/1/2/66/227/243/248/,248.0,Zhuying,New-in-Town ✪,,use,yes,store,,offline,8,,Unspecified Comment,Unspecified Comment
1/20/2021 8:17,unifi mobile,/1/2/31/215/217/,217.0,mic2,New-in-Town ✪,,info,no,,another,offline,3,i cannot clear my cart while checkout,Touchpoints,negative
1/20/2021 8:14,,/1/2/66/,,felixwenqi26,New-in-Town ✪,,use,no,,back,online,7,,Unspecified Comment,Unspecified Comment
1/20/2021 7:43,,/1/,,stanleyngee,New-in-Town ✪,,info,yes,support,,offline,8,,Unspecified Comment,Unspecified Comment
1/20/2021 7:41,,/1/2/31/,,elynlee5710,New-in-Town ✪,,other,no,,support,no,0,cannot communicate to unifi supporter at all. cannot solve my problem,Touchpoints,negative
1/20/2021 6:33,unifi mobile | Can I know berapa Mbps for Unifi Mobile Prepaid? | Can I know berapa Mbps for Unifi Mobile Prepaid?,/1/2/31/215/217/,217.0,nblmhd,New-in-Town ✪,,info,no,,support,online,9,"Many products and services. Also, affordable for all.",Product Offering,negative
1/19/2021 20:02,"Product and Service Announcements | livechat 24/7, just for you :) | livechat 24/7, just for you :)",/1/2/31/10/,10.0,izan80,Contributing Citizen ✪,,answer,yes,other,,online,7,good,Crowd Sourcing and Content,Unspecified Comments
1/19/2021 4:19,Bill Payment | How can I get my e-Bill? | How can I get my e-Bill?,/1/2/66/171/181/275/,275.0,hdt386,New-in-Town ✪,,info,no,,another,no,5,I tried to search how to download ebill but none of the website provide a direct link. The information provided is not useful. ,Touchpoints,negative
1/18/2021 21:20,unifi home broadband | Permohonan pemasangan kabel fibre optik | Permohonan pemasangan kabel fibre optik,/1/2/31/215/216/,216.0,IzatFuad,Upholding Citizen ✪✪,,answer,yes,other,,online,9,Good community,Crowd Sourcing and Content,Unspecified Comments
1/18/2021 16:16,,/1/,,Jess2,New-in-Town ✪,,info,yes,support,,online,1,Not good,Crowd Sourcing and Content,Unspecified Comments
1/18/2021 11:09,unifi home broadband | Pindah lokasi | Pindah lokasi,/1/2/31/215/216/,216.0,[anonymous],,,info,yes,back,,no,5,,Unspecified Comment,Unspecified Comment
1/18/2021 6:53,bill payment | Where can I pay my unifi Mobile bills? | Where can I pay my unifi Mobile bills?,/1/2/66/227/243/251/,251.0,MaiyaRasya,New-in-Town ✪,,info,no,,other,no,0,May I know why the Contact Us section didn't pop up and come out error and I didn't get solution upon my question in live chat. Thank you.,Touchpoints,negative
1/17/2021 19:00,,/1/,,Nickychia,Contributing Citizen ✪,,info,yes,back,,online,0,Poor internet.poor service .No Response to our request.,Network and Services,negative
1/17/2021 14:32,unifi home broadband | Test Unifi Air Coverage | Test Unifi Air Coverage,/1/2/31/215/216/,216.0,WWJ,Contributing Citizen ✪,,info,yes,another,,no,0,,Unspecified Comment,Unspecified Comment
1/17/2021 13:22,,/1/,,LuvAngelz,Mayor,"Administrator, Analytics, Moderator, TKBAuthor",other,yes,other,,online,10,Thank u unifi...,Network and Services,Unspecified Comments
1/17/2021 11:09,unifi Tips & Guides | How to register myunifi app (existing care@unifi and unifi.com.my user) | How to register myunifi app (existing care@unifi and unifi.com.my user),/1/2/31/11/,11.0,Asyraf6965,New-in-Town ✪,,info,no,,support,no,8,"i dont know how to get my account number , i already install a wifi in my house , but i dont know how do i register to myunifi app without my account number , can somebody help me?",Touchpoints,negative
1/17/2021 4:04,Bill Payment | Where can I pay my unifi Home bill? | Where can I pay my unifi Home bill?,/1/2/66/171/181/275/,275.0,dato_nash21,New-in-Town ✪,,use,no,,support,no,0,it didnt help me at all. i just want to know how to pay my deposit & change my BB pasword. Intead u keep directing me to other websites to register/login and such. How confusing..,Touchpoints,negative
1/17/2021 2:44,Bill Payment | Where can I pay my unifi Home bill? | Where can I pay my unifi Home bill?,/1/2/66/171/181/275/,275.0,CindyOng,New-in-Town ✪,,info,yes,support,,online,8,,Unspecified Comment,Unspecified Comment
1/16/2021 0:45,,/1/2/66/,,rosdinj,New-in-Town ✪,,info,no,,support,no,0,confusing,Community UIUX,Unspecified Comments
1/15/2021 10:01,unifi mobile | Bayar google play guna unifi mobile | Bayar google play guna unifi mobile,/1/2/31/215/217/,217.0,Zackryshah,New-in-Town ✪✪,,info,no,,back,offline,3,Because I cannot make call and internet is not so good,Network and Services,negative
1/15/2021 2:09,unifi Tips & Guides | How to login to unifi mobile self-care? | How to login to unifi mobile self-care?,/1/2/31/11/,11.0,irjohan9779,New-in-Town ✪,,other,yes,another,,no,5,not user friendly,Community UIUX,Unspecified Comments
1/14/2021 8:46,,/1/,,tm37316,New-in-Town ✪,,other,no,,back,no,10,5,Unspecified Comment,Unspecified Comment
1/14/2021 3:38,unifi home broadband | Router settings been clear or change automatically | Router settings been clear or change automatically,/1/2/31/215/216/,216.0,jlliew3024,New-in-Town ✪,,info,no,,other,no,0,"IT is because your customer service WON'T Helping us, so I would like to say, I will aleays request a supervisor call me within 30  minutes. After that, customer service WON;T helping customer, only the Supervisor helps, especially James Tan, He can help us more, i will write a recommendations to he, thanks James Tan!",Touchpoints,Unspecified Comments
1/13/2021 22:07,plan,/1/2/66/227/228/229/,229.0,Kamal13,New-in-Town ✪,,make,yes,store,,online,10,Exselent ,Unspecified Comments,Unspecified Comments
1/13/2021 10:15,unifi home broadband,/1/2/31/215/216/,216.0,farizaroslan,New-in-Town ✪,,other,no,,back,offline,10,,Unspecified Comment,Unspecified Comment
1/13/2021 7:18,Bill Payment,/1/2/66/171/181/275/,275.0,profabdullah,New-in-Town ✪,,other,no,,other,no,0,I just want to pay my bill,Touchpoints,negative
1/13/2021 0:35,,/1/,,pylow,New-in-Town ✪,,info,no,,support,no,0,I cannot post my question,Community UIUX,negative
1/12/2021 9:23,unifi mobile | Nak terminate mobile unifi | Nak terminate mobile unifi,/1/2/31/215/217/,217.0,Athir1,New-in-Town ✪,,other,yes,support,,online,0,Fuck u,Unspecified Comments,Unspecified Comments
1/12/2021 5:58,unifi home broadband | Outstanding bill | Outstanding bill,/1/2/31/215/216/,216.0,[anonymous],,,info,yes,store,,no,10,patience and solve my problem by promise me to sending technical team on the next day ,Crowd Sourcing and Content,negative
1/12/2021 4:52,billing | How can I view my bills online? | How can I view my bills online?,/1/2/66/227/243/245/,245.0,AngelsBud,New-in-Town ✪,,info,yes,support,,no,4,Can provide help to solve problem,Crowd Sourcing and Content,negative
1/11/2021 12:48,billing | How can I view my bills online? | How can I view my bills online?,/1/2/66/227/243/245/,245.0,Stephanie95,New-in-Town ✪,,other,yes,other,,no,5,,Unspecified Comment,Unspecified Comment
1/11/2021 12:00,unifi Tips & Guides | Pay unifi Home bill via SMS link | Pay unifi Home bill via SMS link,/1/2/31/11/,11.0,Evon920118,New-in-Town ✪,,other,no,,other,no,0,服务态度不好,Unspecified Comment,Unspecified Comment
1/11/2021 6:22,,/1/,,HandsonMukoyi,New-in-Town ✪,,info,yes,support,,no,10,easy to use and configure,Community UIUX,Unspecified Comments
1/11/2021 4:30,unifi mobile | List of Band 5 phones that supported webe/unifi mobile simcard. | List of Band 5 phones that supported webe/unifi mobile simcard.,/1/2/31/215/217/,217.0,jn,New-in-Town ✪,,other,no,,back,online,9,a lot of info ,Crowd Sourcing and Content,Unspecified Comments
1/11/2021 4:02,,/1/2/66/227/243/,,Rozita2,New-in-Town ✪,,other,yes,another,,online,10,Satisfying,Unspecified Comments,positive
1/11/2021 3:37,Bill Payment | Where can I pay my unifi Home bill? | Where can I pay my unifi Home bill?,/1/2/66/171/181/275/,275.0,Chewweehow83,New-in-Town ✪,,info,no,,support,online,10,,Unspecified Comment,Unspecified Comment
1/10/2021 1:33,,/1/2/66/,,lobosheriff62,New-in-Town ✪,,other,yes,support,,online,5,nothing,Unspecified Comments,Unspecified Comments
1/9/2021 17:13,bill payment | Where do I check my payment made? | Where do I check my payment made?,/1/2/66/227/243/251/,251.0,nazmi0311,New-in-Town ✪,,info,yes,back,,online,8,,Unspecified Comment,Unspecified Comment
1/8/2021 23:16,unifi home broadband | Unifi Air connection problem | Unifi Air connection problem,/1/2/31/215/216/,216.0,Faizo,New-in-Town ✪,,info,no,,other,no,0,shit service,Network and Services,Unspecified Comments
1/7/2021 14:23,Billing Account | How do I retrieve my unifi bill statement? | How do I retrieve my unifi bill statement?,/1/2/66/171/181/276/,276.0,[anonymous],,,use,no,,back,online,7,,Unspecified Comment,Unspecified Comment
1/7/2021 12:06,unifi mobile | Refund deposit | Refund deposit,/1/2/31/215/217/,217.0,[anonymous],,,info,no,,back,online,7,,Unspecified Comment,Unspecified Comment
1/6/2021 12:00,,/1/,,theupbulds,Contributing Citizen ✪,,info,no,,other,online,1,Can i have PUK,Network and Services,Unspecified Comments
1/6/2021 6:40,Autopay | How may I register for the Autopay service? | How may I register for the Autopay service?,/1/2/66/171/181/295/,295.0,RamlahJasman,New-in-Town ✪,,info,no,,other,no,0,Your customer service sucks!I tried logging in cannot... password wrong... even i reset my password.  I called 100 also need to key in number which i did... and the recording tells me incorrect.  I tried your chatbot.. i neeed to keyin password and keep telling me wrong password... so how to contact you all.... So inefficient.... ,Touchpoints,negative
1/5/2021 7:09,unifi home broadband | Unifi relocation | Unifi relocation,/1/2/31/215/216/,216.0,SHTN,New-in-Town ✪,,info,no,,back,online,8,,Unspecified Comment,Unspecified Comment
1/5/2021 1:10,service cancellation | What do I need to do to cancel my service &amp; how long does it take ? | What do I need to do to cancel my service &amp; how long does it take ?,/1/2/66/227/243/253/,253.0,masyanaa,New-in-Town ✪,,other,no,,other,no,5,,Unspecified Comment,Unspecified Comment
1/4/2021 22:32,unifi mobile | kenapa takde internet connection di kuala kubu bharu sedangkan hp ada line LTE? | kenapa takde internet connection di kuala kubu bharu sedangkan hp ada line LTE?,/1/2/31/215/217/,217.0,Kaiyisah9,New-in-Town ✪,,answer,no,,back,no,4,"from my review most of community complaining about coverage and  same as me, we need support such on how to get better connection, no such thing as unlimited internet when you need to reload this page several time to make it work",Network and Services,negative
1/4/2021 14:56,,/1/,,JunaidiSimon03,New-in-Town ✪,,info,yes,back,,no,8,,Unspecified Comment,Unspecified Comment
1/4/2021 12:48,Termination | What is the process to terminate my account? | What is the process to terminate my account?,/1/2/66/171/174/281/,281.0,Hjnezri,New-in-Town ✪,,info,yes,support,,offline,6,Perjanjian tidak dimaklumkan semasa melanggan unifi ini,Product Offering,Unspecified Comments
1/4/2021 3:51,,/1/2/31/,,Sham2444,New-in-Town ✪,,use,yes,support,,online,8,Sometimes cant get signal ,Network and Services,Unspecified Comments
1/4/2021 2:46,autopay mobile | How do I sign up for Auto Pay service? | How do I sign up for Auto Pay service?,/1/2/66/227/243/244/,244.0,punimin,New-in-Town ✪,,info,no,,other,no,5,the online help is not helping at all,Unspecified Comments,negative
1/3/2021 14:41,bill payment | Where can I pay my unifi Mobile bills? | Where can I pay my unifi Mobile bills?,/1/2/66/227/243/251/,251.0,syimaTaib81,New-in-Town ✪,,answer,yes,support,,online,5,no reeason,Responsiveness,Unspecified Comments
1/3/2021 6:43,unifi home broadband | Request for port | Request for port,/1/2/31/215/216/,216.0,TokAdi,Distinguished Citizen ✪,,other,yes,support,,online,10,Thank you,Unspecified Comments,Unspecified Comments
1/3/2021 1:03,unifi mobile,/1/2/31/215/217/,217.0,taufiq871,New-in-Town ✪,,answer,no,,back,online,6,utk LTE shaja.bkn smua tempat yg ad LTE,Network and Services,Unspecified Comments
1/2/2021 14:39,,/1/2/66/,,Malar1978,New-in-Town ✪,,use,no,,support,online,5,When we ask questions most the time didn't get the answer 😔😔😔,Crowd Sourcing and Content,negative
1/1/2021 9:53,billing | How to read my first unifi Mobile bill? | How to read my first unifi Mobile bill?,/1/2/66/227/243/245/,245.0,jiashrf_,New-in-Town ✪,,use,yes,support,,online,6,,Unspecified Comment,Unspecified Comment
